Date,Price
1-Jan-17,1435
2-Jan-17,3895
3-Jan-17,8270
4-Jan-17,11390
5-Jan-17,6545
6-Jan-17,6465
7-Jan-17,4895
8-Jan-17,3270
9-Jan-17,4305
10-Jan-17,10845
11-Jan-17,10510
12-Jan-17,11065
13-Jan-17,50525
14-Jan-17,7940
15-Jan-17,10510
16-Jan-17,18240
17-Jan-17,17600
18-Jan-17,3535
19-Jan-17,3585
20-Jan-17,13170
21-Jan-17,10160
22-Jan-17,4755
23-Jan-17,25650
24-Jan-17,21215
25-Jan-17,10495
26-Jan-17,12870
27-Jan-17,10755
28-Jan-17,4450
29-Jan-17,6445
30-Jan-17,15725
31-Jan-17,19975
1-Feb-17,13505
2-Feb-17,10020
3-Feb-17,12270
4-Feb-17,6975
5-Feb-17,4155
6-Feb-17,9675
7-Feb-17,14145
8-Feb-17,8195
9-Feb-17,8270
10-Feb-17,9245
11-Feb-17,3600
12-Feb-17,2880
13-Feb-17,15420
14-Feb-17,65600
15-Feb-17,22255
16-Feb-17,3150
17-Feb-17,8045
18-Feb-17,3985
19-Feb-17,2325
20-Feb-17,11170
21-Feb-17,19680
22-Feb-17,24650
23-Feb-17,9460
24-Feb-17,19220
25-Feb-17,3700
26-Feb-17,5310
27-Feb-17,19425
28-Feb-17,16265
1-Mar-17,9235
2-Mar-17,10805
3-Mar-17,6620
4-Mar-17,5190
5-Mar-17,2645
6-Mar-17,5965
7-Mar-17,14815
8-Mar-17,3510
9-Mar-17,8685
10-Mar-17,13765
11-Mar-17,7230
12-Mar-17,4670
13-Mar-17,12490
14-Mar-17,47575
15-Mar-17,23725
16-Mar-17,11620
17-Mar-17,6700
18-Mar-17,3135
19-Mar-17,3880
20-Mar-17,11800
21-Mar-17,20520
22-Mar-17,25805
23-Mar-17,15395
24-Mar-17,12425
25-Mar-17,5715
26-Mar-17,2485
27-Mar-17,9950
28-Mar-17,15875
29-Mar-17,12495
30-Mar-17,12685
31-Mar-17,14900
1-Apr-17,9380
2-Apr-17,3410
3-Apr-17,9360
4-Apr-17,7425
5-Apr-17,8725
6-Apr-17,9975
7-Apr-17,11970
8-Apr-17,3955
9-Apr-17,4220
10-Apr-17,9895
11-Apr-17,16295
12-Apr-17,84055
13-Apr-17,52920
14-Apr-17,24195
15-Apr-17,13925
16-Apr-17,1555
17-Apr-17,4830
18-Apr-17,11035
19-Apr-17,11020
20-Apr-17,10905
21-Apr-17,18505
22-Apr-17,6850
23-Apr-17,4575
24-Apr-17,21050
25-Apr-17,16550
26-Apr-17,14580
27-Apr-17,9855
28-Apr-17,19200
29-Apr-17,11010
30-Apr-17,3090
1-May-17,15805
2-May-17,11960
3-May-17,6660
4-May-17,8035
5-May-17,15725
6-May-17,5365
7-May-17,2985
8-May-17,12860
9-May-17,6250
10-May-17,11350
11-May-17,9785
12-May-17,5160
13-May-17,21215
14-May-17,37540
15-May-17,50265
16-May-17,18780
17-May-17,7820
18-May-17,7875
19-May-17,14815
20-May-17,5450
21-May-17,4060
22-May-17,24625
23-May-17,16180
24-May-17,10220
25-May-17,13795
26-May-17,4790
27-May-17,6445
28-May-17,2450
29-May-17,14655
30-May-17,9375
31-May-17,20490
1-Jun-17,13270
2-Jun-17,14640
3-Jun-17,9050
4-Jun-17,3520
5-Jun-17,11290
6-Jun-17,3795
7-Jun-17,14195
8-Jun-17,6595
9-Jun-17,9525
10-Jun-17,7375
11-Jun-17,6355
12-Jun-17,10180
13-Jun-17,25500
14-Jun-17,63920
15-Jun-17,25990
16-Jun-17,20195
17-Jun-17,6200
18-Jun-17,2835
19-Jun-17,11610
20-Jun-17,11250
21-Jun-17,13430
22-Jun-17,31215
23-Jun-17,18820
24-Jun-17,7580
25-Jun-17,4800
26-Jun-17,15810
27-Jun-17,6255
28-Jun-17,9520
29-Jun-17,15605
30-Jun-17,14915
1-Jul-17,6000
2-Jul-17,6615
3-Jul-17,7865
4-Jul-17,10455
5-Jul-17,17685
6-Jul-17,16600
7-Jul-17,9525
8-Jul-17,6630
9-Jul-17,2515
10-Jul-17,12075
11-Jul-17,10015
12-Jul-17,6565
13-Jul-17,32170
14-Jul-17,85950
15-Jul-17,27805
16-Jul-17,11270
17-Jul-17,15480
18-Jul-17,10065
19-Jul-17,10345
20-Jul-17,23550
21-Jul-17,34180
22-Jul-17,11320
23-Jul-17,10995
24-Jul-17,18860
25-Jul-17,18365
26-Jul-17,13220
27-Jul-17,16290
28-Jul-17,16335
29-Jul-17,6255
30-Jul-17,5620
31-Jul-17,15015
1-Aug-17,10345
2-Aug-17,12125
3-Aug-17,8585
4-Aug-17,9720
5-Aug-17,12350
6-Aug-17,8870
7-Aug-17,11495
8-Aug-17,10205
9-Aug-17,7420
10-Aug-17,12155
11-Aug-17,12275
12-Aug-17,6860
13-Aug-17,4790
14-Aug-17,45735
15-Aug-17,78795
16-Aug-17,30120
17-Aug-17,12910
18-Aug-17,19070
19-Aug-17,6845
20-Aug-17,4805
21-Aug-17,19130
22-Aug-17,31070
23-Aug-17,11545
24-Aug-17,14775
25-Aug-17,20415
26-Aug-17,11425
27-Aug-17,6430
28-Aug-17,5780
29-Aug-17,10775
30-Aug-17,15250
31-Aug-17,13950
1-Sep-17,10435
2-Sep-17,7005
3-Sep-17,8705
4-Sep-17,9330
5-Sep-17,11175
6-Sep-17,9615
7-Sep-17,10565
8-Sep-17,9435
9-Sep-17,6950
10-Sep-17,3940
11-Sep-17,9175
12-Sep-17,11545
13-Sep-17,34240
14-Sep-17,60190
15-Sep-17,35965
16-Sep-17,10015
17-Sep-17,6110
18-Sep-17,20165
19-Sep-17,8130
20-Sep-17,20700
21-Sep-17,18645
22-Sep-17,20275
23-Sep-17,7325
24-Sep-17,7550
25-Sep-17,28285
26-Sep-17,16295
27-Sep-17,9080
28-Sep-17,8340
29-Sep-17,31250
30-Sep-17,9430
1-Oct-17,3510
2-Oct-17,9620
3-Oct-17,8205
4-Oct-17,7795
5-Oct-17,11570
6-Oct-17,9955
7-Oct-17,2715
8-Oct-17,3050
9-Oct-17,12170
10-Oct-17,14310
11-Oct-17,10155
12-Oct-17,67940
13-Oct-17,32395
14-Oct-17,19440
15-Oct-17,5455
16-Oct-17,8840
17-Oct-17,10065
18-Oct-17,13075
19-Oct-17,9930
20-Oct-17,33710
21-Oct-17,10825
22-Oct-17,6200
23-Oct-17,14815
24-Oct-17,14225
25-Oct-17,14155
26-Oct-17,10805
27-Oct-17,14415
28-Oct-17,7095
29-Oct-17,3910
30-Oct-17,9950
31-Oct-17,14830
1-Nov-17,10800
2-Nov-17,10920
3-Nov-17,10275
4-Nov-17,5975
5-Nov-17,3770
6-Nov-17,11650
7-Nov-17,7730
8-Nov-17,6925
9-Nov-17,9385
10-Nov-17,11660
11-Nov-17,7180
12-Nov-17,4125
13-Nov-17,7865
14-Nov-17,27265
15-Nov-17,86670
16-Nov-17,15460
17-Nov-17,15765
18-Nov-17,7360
19-Nov-17,3980
20-Nov-17,17825
21-Nov-17,37280
22-Nov-17,30545
23-Nov-17,8035
24-Nov-17,12505
25-Nov-17,6695
26-Nov-17,5565
27-Nov-17,17385
28-Nov-17,15145
29-Nov-17,16515
30-Nov-17,18435
1-Dec-17,12015
2-Dec-17,4890
3-Dec-17,5440
4-Dec-17,7855
5-Dec-17,8640
6-Dec-17,9340
7-Dec-17,12480
8-Dec-17,9350
9-Dec-17,5240
10-Dec-17,3605
11-Dec-17,12185
12-Dec-17,5845
13-Dec-17,6230
14-Dec-17,30110
15-Dec-17,93035
16-Dec-17,22310
17-Dec-17,6095
18-Dec-17,14475
19-Dec-17,16080
20-Dec-17,30440
21-Dec-17,22055
22-Dec-17,26800
23-Dec-17,11290
24-Dec-17,5200
25-Dec-17,28950
26-Dec-17,22345
27-Dec-17,30775
28-Dec-17,25050
29-Dec-17,31245
30-Dec-17,15455
31-Dec-17,7925
1-Jan-18,295
2-Jan-18,5225
3-Jan-18,9825
4-Jan-18,8615
5-Jan-18,10250
6-Jan-18,3245
7-Jan-18,1550
8-Jan-18,9265
9-Jan-18,5380
10-Jan-18,6050
11-Jan-18,15250
12-Jan-18,73740
13-Jan-18,24750
14-Jan-18,17435
15-Jan-18,17935
16-Jan-18,15135
17-Jan-18,11035
18-Jan-18,7875
19-Jan-18,13440
20-Jan-18,7910
21-Jan-18,2585
22-Jan-18,20965
23-Jan-18,9670
24-Jan-18,7285
25-Jan-18,10945
26-Jan-18,16470
27-Jan-18,12000
28-Jan-18,3975
29-Jan-18,12920
30-Jan-18,11430
31-Jan-18,16995
1-Feb-18,3910
2-Feb-18,12800
3-Feb-18,9730
4-Feb-18,4155
5-Feb-18,9980
6-Feb-18,9645
7-Feb-18,11830
8-Feb-18,5130
9-Feb-18,8625
10-Feb-18,9375
11-Feb-18,1770
12-Feb-18,15230
13-Feb-18,78115
14-Feb-18,32135
15-Feb-18,20485
16-Feb-18,10135
17-Feb-18,5225
18-Feb-18,3040
19-Feb-18,9110
20-Feb-18,18100
21-Feb-18,21350
22-Feb-18,13320
23-Feb-18,13655
24-Feb-18,4565
25-Feb-18,2840
26-Feb-18,15380
27-Feb-18,14340
28-Feb-18,14735
1-Mar-18,11460
2-Mar-18,8790
3-Mar-18,4545
4-Mar-18,4755
5-Mar-18,7040
6-Mar-18,14390
7-Mar-18,8715
8-Mar-18,5070
9-Mar-18,5790
10-Mar-18,9220
11-Mar-18,4065
12-Mar-18,11795
13-Mar-18,25245
14-Mar-18,87190
15-Mar-18,27510
16-Mar-18,17965
17-Mar-18,7505
18-Mar-18,2480
19-Mar-18,5725
20-Mar-18,17405
21-Mar-18,22120
22-Mar-18,14170
23-Mar-18,11830
24-Mar-18,8585
25-Mar-18,5385
26-Mar-18,15075
27-Mar-18,6740
28-Mar-18,14860
29-Mar-18,14075
30-Mar-18,25000
31-Mar-18,8175
1-Apr-18,7580
2-Apr-18,23805
3-Apr-18,19870
4-Apr-18,15765
5-Apr-18,31535
6-Apr-18,12155
7-Apr-18,6805
8-Apr-18,1375
9-Apr-18,3570
10-Apr-18,12245
11-Apr-18,5195
12-Apr-18,3545
13-Apr-18,32390
14-Apr-18,78590
15-Apr-18,16540
16-Apr-18,29745
17-Apr-18,9670
18-Apr-18,6785
19-Apr-18,9090
20-Apr-18,28465
21-Apr-18,15170
22-Apr-18,6865
23-Apr-18,26785
24-Apr-18,17229
25-Apr-18,13042
26-Apr-18,23093
27-Apr-18,8143
28-Apr-18,22128
29-Apr-18,23213
30-Apr-18,17291
